"SÉANCE","CONTENU ABORDÉ EN CLASSE ET OBJECTIF","ACTIVITÉS AUTONOME"
"1; 3 février","Survol du plan de cours <br /> [evolution du traitement vidéo](#evolution_historique)","1 aa"
"2; 10 février","Suite : [evolution du traitement vidéo](#evolution_historique) <br /> [composantes du signal vidéo](#lexique_composantes) ","Préparation [evaluation 1](#evaluation_1)"
"3; 17 février","Formatif:Approbation des sujet [evaluation 1](#evaluation_1) ","Préparation [evaluation 1](#evaluation_1)"
"4; 24 février","Remise [évaluation_1](#evaluation_1) ","Préparation [evaluation 2](#evaluation_2)"
"X ; 3 mars","Journées de rattrapage (Pas de cours)","Préparation [evaluation 2](#evaluation_2)"
"5; 10 mars","Remise [évaluation_2](#evaluation_2)",""
"6; 17 mars","","Compléter [évaluation_3](#evaluation_3)"
"7; 24 mars","8e","8 aa"
"8; 31 mars","Remise [évaluation_4](#evaluation_4)","9 aa"
"X; 7 avril","Congé (Pas de cours)","10 aa"
"9; 14 avril","11e","Préparation [évaluation_5](#evaluation_5)"
"10; 21 avril","Remise [évaluation_5](#evaluation_5)","12 aa"
"11; 28 avril","13e","13 aa"
"12; 5 mai","14e","14 aa"
"13; 12 mai","Préparation [évaluation_6](#evaluation_6)","Préparation [évaluation_6](#evaluation_6)"
"X; 19 mai","épreuve uniforme de français (Pas de cours)",""
"14; 25 mai","Remise [évaluation_6](#evaluation_6)",""